iter	Passed	Remaining
0	122	122041
1	123	61572
2	124	41364
3	125	31253
4	126	25209
5	127	21165
6	128	18288
7	130	16126
8	131	14477
9	132	13151
10	134	12052
11	135	11130
12	136	10347
13	137	9674
14	138	9092
15	139	8583
16	140	8136
17	141	7736
18	143	7389
19	144	7072
20	145	6782
21	147	6543
22	148	6314
23	149	6099
24	151	5897
25	152	5716
26	153	5537
27	154	5369
28	155	5214
29	156	5069
30	157	4937
31	159	4818
32	160	4699
33	161	4589
34	162	4482
35	163	4383
36	164	4289
37	165	4198
38	167	4116
39	168	4032
40	169	3953
41	170	3878
42	170	3802
43	171	3733
44	172	3662
45	173	3594
46	174	3529
47	174	3468
48	175	3410
49	176	3355
50	177	3306
51	178	3253
52	179	3202
53	179	3153
54	180	3108
55	181	3061
56	182	3014
57	182	2970
58	183	2926
59	184	2886
60	184	2845
61	185	2805
62	186	2767
63	186	2731
64	187	2695
65	188	2660
66	188	2627
67	189	2594
68	189	2563
69	190	2535
70	191	2509
71	192	2481
72	193	2452
73	194	2427
74	194	2400
75	195	2374
76	195	2348
77	196	2323
78	197	2298
79	197	2275
80	198	2251
81	199	2229
82	199	2203
83	200	2181
84	200	2161
85	201	2140
86	202	2120
87	202	2100
88	203	2081
89	204	2062
90	204	2044
91	205	2025
92	206	2009
93	206	1993
94	207	1976
95	208	1961
96	208	1945
97	209	1930
98	210	1916
99	211	1900
100	211	1886
101	212	1871
102	213	1857
103	213	1843
104	214	1828
105	215	1814
106	215	1801
107	216	1788
108	217	1775
109	217	1762
110	218	1752
111	219	1742
112	220	1731
113	221	1720
114	221	1708
115	222	1696
116	223	1684
117	223	1673
118	224	1663
119	225	1652
120	226	1642
121	226	1630
122	227	1620
123	227	1610
124	228	1600
125	229	1590
126	229	1580
127	230	1570
128	231	1560
129	231	1551
130	232	1542
131	233	1533
132	233	1524
133	234	1516
134	235	1508
135	236	1501
136	236	1492
137	237	1484
138	238	1475
139	238	1467
140	239	1459
141	240	1450
142	240	1442
143	241	1434
144	242	1427
145	242	1419
146	243	1411
147	243	1404
148	244	1396
149	245	1389
150	245	1382
151	246	1375
152	247	1368
153	247	1361
154	248	1355
155	249	1348
156	249	1342
157	250	1336
158	251	1330
159	252	1324
160	252	1316
161	253	1310
162	253	1304
163	254	1297
164	255	1291
165	255	1285
166	256	1279
167	257	1273
168	257	1267
169	258	1262
170	259	1256
171	259	1251
172	260	1245
173	261	1240
174	261	1234
175	262	1229
176	263	1224
177	264	1219
178	264	1214
179	265	1209
180	266	1204
181	266	1199
182	267	1194
183	268	1189
184	268	1183
185	269	1179
186	270	1175
187	270	1170
188	271	1165
189	272	1160
190	272	1155
191	273	1151
192	274	1146
193	274	1141
194	275	1137
195	276	1132
196	276	1128
197	277	1123
198	278	1119
199	278	1115
200	279	1111
201	280	1107
202	281	1104
203	281	1100
204	282	1096
205	283	1092
206	284	1088
207	284	1084
208	285	1079
209	285	1075
210	286	1071
211	287	1068
212	288	1064
213	288	1060
214	289	1056
215	290	1052
216	290	1048
217	291	1044
218	291	1040
219	292	1037
220	293	1033
221	293	1029
222	294	1026
223	295	1022
224	296	1019
225	296	1015
226	297	1012
227	297	1008
228	298	1005
229	299	1001
230	299	998
231	300	995
232	301	991
233	302	988
234	302	985
235	303	983
236	304	980
237	305	977
238	306	974
239	306	971
240	307	968
241	308	965
242	308	962
243	309	959
244	310	956
245	311	953
246	311	950
247	312	947
248	313	944
249	313	941
250	314	937
251	314	934
252	315	931
253	316	929
254	317	927
255	317	924
256	318	921
257	319	918
258	320	915
259	320	912
260	321	909
261	322	907
262	322	904
263	323	901
264	324	898
265	324	896
266	325	893
267	326	890
268	326	888
269	327	885
270	328	882
271	328	880
272	329	877
273	330	874
274	330	872
275	331	869
276	332	867
277	332	864
278	333	861
279	334	859
280	334	856
281	335	854
282	336	851
283	336	849
284	337	846
285	338	844
286	339	842
287	339	840
288	341	839
289	341	836
290	342	834
291	343	831
292	343	829
293	344	827
294	345	825
295	346	822
296	346	820
297	347	818
298	347	815
299	348	813
300	349	811
301	349	808
302	350	806
303	351	804
304	352	802
305	352	799
306	353	798
307	354	796
308	355	794
309	356	792
310	356	790
311	357	787
312	357	785
313	358	783
314	359	781
315	360	779
316	360	777
317	361	775
318	362	773
319	362	770
320	363	768
321	364	766
322	364	764
323	365	762
324	366	760
325	366	758
326	367	756
327	368	754
328	369	753
329	369	751
330	370	749
331	371	747
332	372	745
333	372	743
334	373	741
335	374	739
336	375	737
337	375	736
338	376	734
339	377	732
340	377	730
341	378	728
342	379	726
343	380	724
344	380	722
345	381	720
346	382	719
347	383	718
348	384	717
349	385	715
350	385	713
351	386	711
352	387	709
353	387	707
354	388	705
355	388	703
356	389	701
357	390	700
358	391	698
359	391	696
360	392	694
361	392	692
362	393	690
363	394	688
364	394	686
365	395	685
366	396	683
367	396	681
368	397	680
369	398	678
370	399	676
371	400	675
372	400	673
373	401	671
374	402	670
375	402	668
376	403	666
377	404	664
378	404	663
379	405	661
380	406	659
381	406	658
382	407	656
383	408	654
384	408	653
385	409	651
386	410	649
387	410	648
388	411	646
389	412	645
390	413	644
391	414	642
392	415	641
393	415	639
394	416	637
395	417	636
396	417	634
397	418	632
398	419	631
399	419	629
400	420	627
401	420	626
402	421	624
403	422	622
404	422	621
405	423	619
406	424	617
407	424	616
408	425	614
409	426	614
410	427	612
411	428	611
412	429	610
413	430	608
414	430	607
415	431	605
416	432	604
417	432	602
418	433	601
419	434	599
420	434	597
421	435	596
422	436	594
423	436	593
424	437	591
425	437	590
426	438	588
427	439	587
428	439	585
429	440	584
430	441	582
431	442	581
432	442	579
433	443	578
434	444	577
435	445	575
436	445	574
437	446	572
438	447	571
439	447	569
440	448	568
441	449	567
442	449	565
443	450	564
444	451	562
445	452	561
446	452	560
447	453	558
448	453	557
449	454	555
450	455	554
451	456	552
452	456	551
453	457	550
454	458	549
455	459	548
456	460	546
457	460	545
458	461	544
459	462	542
460	462	541
461	463	539
462	464	538
463	464	537
464	465	535
465	466	534
466	466	532
467	467	531
468	468	530
469	468	528
470	469	527
471	470	526
472	471	524
473	471	523
474	472	522
475	473	521
476	474	519
477	474	518
478	475	517
479	476	516
480	477	514
481	477	513
482	478	512
483	479	510
484	479	509
485	480	508
486	481	506
487	481	505
488	482	504
489	483	502
490	483	501
491	484	500
492	485	498
493	485	497
494	486	496
495	486	494
496	487	493
497	489	493
498	490	491
499	490	490
500	491	489
501	492	488
502	492	487
503	493	485
504	494	484
505	494	483
506	495	481
507	496	480
508	496	479
509	497	478
510	498	476
511	498	475
512	499	474
513	500	472
514	500	471
515	501	470
516	502	469
517	503	468
518	504	467
519	504	465
520	505	464
521	506	463
522	506	462
523	507	461
524	508	459
525	508	458
526	509	457
527	510	456
528	510	454
529	511	453
530	512	452
531	513	451
532	513	450
533	514	449
534	515	447
535	516	446
536	516	445
537	517	444
538	519	444
539	520	443
540	521	442
541	522	441
542	522	439
543	523	438
544	523	437
545	524	436
546	525	434
547	525	433
548	526	432
549	527	431
550	528	430
551	528	429
552	529	427
553	530	426
554	530	425
555	531	424
556	531	423
557	532	421
558	533	420
559	534	419
560	534	418
561	535	417
562	536	416
563	536	414
564	537	413
565	537	412
566	538	411
567	539	410
568	539	408
569	540	407
570	541	406
571	541	405
572	542	404
573	542	402
574	543	401
575	544	400
576	544	399
577	545	398
578	546	397
579	546	395
580	547	394
581	548	393
582	548	392
583	549	391
584	550	390
585	551	389
586	551	388
587	552	386
588	552	385
589	553	384
590	554	383
591	554	382
592	555	381
593	556	380
594	556	378
595	557	377
596	558	376
597	558	375
598	559	374
599	560	373
600	560	372
601	561	371
602	562	370
603	563	369
604	563	368
605	564	366
606	565	365
607	565	364
608	566	363
609	566	362
610	567	361
611	568	360
612	568	359
613	569	357
614	570	356
615	570	355
616	571	354
617	572	353
618	572	352
619	573	351
620	574	350
621	574	349
622	575	348
623	576	347
624	576	345
625	577	344
626	578	343
627	578	342
628	579	341
629	580	340
630	580	339
631	581	338
632	582	337
633	582	336
634	583	335
635	583	334
636	584	333
637	585	332
638	585	330
639	586	329
640	587	328
641	587	327
642	588	326
643	588	325
644	589	324
645	590	323
646	590	322
647	591	321
648	592	320
649	592	319
650	593	318
651	594	317
652	595	316
653	595	315
654	596	314
655	597	313
656	597	312
